id_cliente,genero,idoso,tem_parceiro,tem_dependentes,meses_na_empresa,servico_telefone,multiplas_linhas,servico_internet,servico_seguranca,servico_backup,servico_protecao_equipamento,servico_suporte_tecnico,streaming_tv,streaming_filmes,contrato,fatura_digital,forma_pagamento,valor_mensal,total_gasto,churn
7590-VHVEG,Feminino,Não,Sim,Não,1,Não,Não,DSL,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Boleto,29.85,29.85,Não
5575-GNVDE,Masculino,Não,Não,Não,34,Sim,Não,DSL,Sim,Não,Sim,Não,Não,Não,Anual,Não,Cheque,56.95,1889.5,Não
3668-QPYBK,Masculino,Não,Não,Não,2,Sim,Não,DSL,Sim,Sim,Não,Não,Não,Não,Mensal,Sim,Cheque,53.85,108.15,Sim
7795-CFOCW,Masculino,Não,Não,Não,45,Não,Não,DSL,Sim,Não,Sim,Sim,Não,Não,Anual,Não,Transferencia,42.3,1840.75,Não
9237-HQITU,Feminino,Não,Não,Não,2,Sim,Não,Fibra optica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Boleto,70.7,151.65,Sim
9305-CDSKC,Feminino,Não,Não,Não,8,Sim,Sim,Fibra optica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Boleto,99.65,820.5,Sim
1452-KIOVK,Masculino,Não,Não,Sim,22,Sim,Sim,Fibra optica,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,Cartao de credito,89.1,1949.4,Não
6713-OKOMC,Feminino,Não,Não,Não,10,Não,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Não,Cheque,29.75,301.9,Não
7892-POOKP,Feminino,Não,Sim,Não,28,Sim,Sim,Fibra optica,Não,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Boleto,104.8,3046.05,Sim
6388-TABGU,Masculino,Não,Não,Sim,62,Sim,Não,DSL,Sim,Sim,Não,Não,Não,Não,Anual,Não,Transferencia,56.15,3487.95,Não
9763-GRSKD,Masculino,Não,Sim,Sim,13,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Cheque,49.95,587.45,Não
